Index,Account Id,Lead Owner,First Name,Last Name,Company,Phone 1,Phone 2,Email 1,Email 2,Website,Source,Deal Stage,Notes
1,862d63fBE445C3B,Antonio Savage,Cameron,Price,"Dean, Daniels and Charles",999-826-8118,+1-942-704-6437x07516,jermaine42@bush.info,howardtamara@malone-zamora.com,http://www.moody-colon.com/,Facebook Ads,Qualified,Be mind picture to.
2,B1B9fa4B9A41f10,Alexander Mccall,Phyllis,Wade,"Woodward, Everett and Doyle",821-857-6254,583.518.0548,dorothy36@shannon-dunn.info,qrangel@maxwell.org,https://nash.com/,Other,Closed Lost,Affect activity everybody cause sense close anything.
3,1c2a1d1Ef8dDEFa,Nancy Grant,Matthew,Villegas,Mcfarland-Moore,001-449-523-9318x9353,652-505-2127,gregorybrenda@forbes.biz,fitzpatrickcole@jordan-massey.com,https://www.bradley-stanley.com/,Organic Search (SEO),Closed Lost,Strong cost together thought.
4,aEAFcec4C129DDE,Yesenia Short,Haley,Chapman,"Potts, Jimenez and Sweeney",472-744-2240x57147,241.390.0856x043,shelley22@villarreal.com,pvelazquez@thornton.com,https://day-hawkins.org/,Chatbot,Proposal Sent,Treatment opportunity drop.
5,6eA1Ab9d8d03966,Joan Meyers,Priscilla,Tran,Meza-Bolton,364.569.1151x738,+1-788-488-1036,kgutierrez@lyons.com,zlogan@andrade.com,http://nichols-hanson.com/,LinkedIn Outreach,Proposal Sent,Local throw as soldier finally house always.
6,76da550015f55AA,Hector Yates,Javier,King,Riddle Inc,432.386.0345x1453,+1-570-949-3166x5753,klarsen@mcneil.com,annette98@reese.biz,http://paul.com/,Facebook Ads,On Hold,Blue available central.
7,c794AD13aafFCb4,Glen Horne,Sophia,Mcmahon,Frederick-Pineda,001-227-739-3685x6276,(904)696-6905x10762,biancagallegos@ryan.info,sallyhawkins@pope-blackwell.org,https://shepherd-glover.com/,Direct Traffic,Proposal Sent,Condition figure view.
8,DAa70C83DB217ef,Oscar Ware,Steven,Riley,Cardenas and Sons,621.359.5298,641-965-1272x87983,hillandre@hensley.org,velazquezellen@richards-brady.com,http://www.middleton.org/,Purchased List,Qualified,Pick fill these research.
9,A7d8ABCB42772E9,Cory Garza,Suzanne,Suarez,Roth and Sons,001-489-318-8021x03052,(915)600-9701x379,masonjoann@johnson.com,zmadden@guzman-hodges.com,https://burgess.org/,Webinars,Re-engagement,Raise ability star light may.
10,2730Ed0d5fAC1c9,Cristian Brady,Jerry,Parker,English Ltd,7866949727,(725)843-9297x2704,robin37@reed.net,jacobcuevas@klein.com,http://www.ibarra.biz/,Direct Traffic,Contacted,Animal effect suffer international over security.
11,FEccF62aAbE6eD7,Eric Quinn,Mckenzie,Barajas,Kent and Sons,553.704.6803,440.903.7137,tcosta@montes.com,ndavenport@pacheco.com,http://www.randall.net/,Webinars,New Lead,See total kid technology.
12,F1c65315fF59DCc,Jasmine Brooks,Tina,Banks,"Hernandez, Gould and Tate",+1-982-572-8198x0142,001-823-513-3542,joluna@huerta.info,jimmychoi@maddox.com,https://adkins.org/,LinkedIn Outreach,Closed Lost,Over religious seat I surface world often.
13,EFffF4cA5Ff78f2,Kara Mullins,Deborah,Hurley,Owens and Sons,+1-639-874-7063x8850,673.324.9098x74040,nicole50@choi.info,estradajaclyn@goodwin.com,http://www.lloyd.info/,LinkedIn Outreach,Qualified,Cover but remember yes source either run.
14,4fa6cdaAceBca63,Nina Anderson,Tanya,Thomas,Durham-Reilly,+1-612-780-0112x01770,698-622-8471,dyercristina@maxwell-mckee.net,cameronwilliamson@malone-archer.info,https://henson.biz/,Direct Traffic,Re-engagement,Their tend sense game result would set.
15,807a2fbC423e818,Barry Whitaker,Tiffany,Bowman,Bray PLC,923-795-7518,001-247-209-1950x53032,coleparsons@miller-harris.org,holdercassidy@cain.net,https://www.larsen.com/,Website Form,Proposal Sent,Necessary option receive.
16,CEA4F32AEB26f33,Melissa Alvarado,Tyrone,Shaffer,Neal PLC,+1-275-748-3286x412,528-234-5014x044,jimmywright@mccarty.com,crosbycesar@diaz-bean.info,http://lin.com/,Direct Traffic,Re-engagement,Sea PM kind check.
17,Ce2A5eb4dC72E18,Lindsay Ashley,Jerome,Hardy,Pena PLC,618-471-8875,740.996.2799x16414,franklinfrye@melton.biz,jackiefuentes@lucero.net,http://www.hoffman-ray.com/,Networking Event,Qualified,Power ability important eye law democratic expect.
18,bB2e1aD4A3e0Bd0,Carly Walton,Max,Cox,"Reyes, Simmons and Shields",471.527.0291x0621,989.387.5155x64134,erikaingram@leon.biz,mccarthycaroline@steele.com,http://www.chung.com/,Direct Traffic,Closed Won,Seven statement performance home.
19,EC2e54dD29cA5C3,Mackenzie Schaefer,Sophia,Franco,"Nixon, Coleman and Dougherty",(544)918-7798,+1-757-457-4834,sellersdarrell@keller.org,kochfelicia@sellers.com,https://hubbard.net/,Website Form,Contacted,Out pass tell yeah he eye.
20,e1e0d69dFFCFE19,Mathew Bauer,Steven,Bradley,"Kane, Warren and Benton",(366)848-1680x4950,536-309-5035,stephanie81@valencia.com,glasswhitney@meyer.info,https://www.holloway-knox.biz/,Facebook Ads,Qualified,Week cause herself always.
21,E2e4cD87FeC6Fd0,Tiffany Olsen,Andrea,Newton,"Miles, Li and Larsen",234-772-1962x849,601-719-9800,courtneyfitzpatrick@little.info,daisy82@rose.com,http://mclean.info/,Social Media,On Hold,Particularly then at real film ground walk usually.
22,E8d85DE3A7a356d,Yolanda Gonzalez,Gary,Johns,"Tanner, Case and Ritter",9728522763,+1-218-725-7495x267,gpace@bridges.com,sheenacarpenter@jensen-ortega.com,https://moran.com/,Cold Call,Qualified,Growth light film book foot star.
23,Fe9C4eFD56EA7BE,Troy Newman,Mckenzie,Vargas,"Hebert, Graves and Duran",2966943546,(595)383-3715x462,moyeralvin@livingston.info,paul92@gallagher.com,http://patrick.info/,Social Media,Re-engagement,Current technology away well speak act.
24,D89fbF1cb9bB5C6,Anna Pearson,Dustin,Rosales,Ferguson Inc,449.256.8860,978-956-9791,muellermandy@kramer.info,horneallen@shields.net,https://www.lucas-kelly.org/,Podcast,Closed Won,Break determine speech true.
